Font Name,Description
amiko,"Amiko is a clean and utilitarian Devanagari and Latin typeface family, specifically designed for maximum legibility at the smallest possible text sizes.
It is intended for body text on the web and low resolution screens. 
It was designed in a studio collaboration by Pablo Impallari, Rodrigo Fuenzalida and Andres Torresi.
 
 
Thank you to Pria Ravichandran, Erin McLaughlin, Girish Dalvi, Dan Reynolds and all those who have shared their knowledge and helped with reviews to improve Amiko.
 
 
The Amiko project is led by Impallari Type, a type design foundry based in Rosario, Argentina. 
To contribute, see  github.com/impallari/Amiko-Devanagari"
fugazone,"Fugaz One is a sans serif with very geometric features and gestural characteristics, which brings it away from its formal beginnings. Combined with its italic inclination, Fugaz One has become a very dynamic font."
francoisone,"Francois One is a reworking of traditional sans serif gothic display typeface forms. In Francois One, the earlier letter forms have been digitised and then reshaped for use as a webfont, the counters have been opened up a little and the stems optimised for use as bold display font in modern web browsers. Slanted stem terminals have been added to give the face added visual play."
markazitext,"This typeface design was inspired by Tim Holloway's Markazi typeface, with his encouragement, and initiated by Gerry Leonidas as a joint University of Reading and Google project.
 
 
The Arabic glyphs were designed by Borna Izadpanah and design directed by Fiona Ross, they feature a moderate contrast. It takes its cues from the award-winning Markazi typeface, affording a contemporary and highly readable typeface.
 
 
The complementary Latin glyphs were designed by Florian Runge. It keeps in spirit with its Arabic counterpart, echoing key design characteristics while being rooted in established Latin traditions. It is an open and clear design with a compact stance and an evenly flowing rhythm.
 
 
The family is available in four weights with extended language support suited for print and screen.
 
 
To contribute, see  github.com/BornaIz/markazitext ."
changa,"Changa is intended for text usage, with its short ascenders and descenders
and a set of lowercase letters inscribed within a square. The uppercase
letters gains slightly more in height form a single height so that
typographers can set text with minimum line spacing. 
 Changa One 
is also available, the initial style that is an extra-bold sister family 
intended for display usage. 
 In November 2019, it was updated with a Variable Font ""Weight"" axis. 
 To contribute, see  github.com/googlefonts/changa-vf ."
rufina,"Rufina combines features of several typographic styles with Bodoni forms
found in the calligraphy of flexible tip pens. High contrast enables it to
work well in text and headlines. 
 To contribute to the project contact 
 Martin Sommaruga ."
oxanium,"Oxanium is a square, futuristic font family. It feels at home on the head-up display of a spaceship, or the scoreboard of a video game. Its intuitive strokes ensure legibility at small sizes and quick glances, while angled cuts add charisma to big headlines. 
 To contribute, please go to  github.com/sevmeyer/oxanium ."
nanumgothic,"The Nanum fonts (Korean : 나눔글꼴) are unicode fonts designed especially for
the Korean-language script, designed by Sandoll Communications
(Korean : 산돌 커뮤니케이션) and Fontrix (Korean : 폰트릭스). The publisher is
Naver. Nanum Gothic is a contemporary sans-serif with a warm touch and is
expertly hinted for screen use."
tajawal,"Tajawal is a distinctive low contrast Arabic and sans serif Latin typeface family in 7 weights was created and designed by Boutros™ following a modern geometric style while still respecting the calligraphy rules of the Arabic script.
Its fluid geometry makes it the perfect choice to use in both print and web applications, and alongside other Latin typefaces.
 
 
To contribute, see  github.com/googlefonts/tajawal"
majormonodisplay,"Majör Mono Display is a monospaced geometric sans serif all-uppercase typeface which also has a complete set of constructivist display characters with a playful attitude.
It has many OpenType features, but the basic stylistic sets, serious sans serif, and playful display designs, are encoded as lowercase and uppercase characters.
This makes it a great choice for playful web typography, especially at large point-sizes.
 
 
To contribute, see  github.com/googlefonts/majormono"
exo2,"Exo 2 is a complete redrawing of  Exo , a contemporary geometric sans serif typeface that tries to convey a technological/futuristic feeling while keeping an elegant design. Exo is a very versatile font, so it has 9 weights (the maximum on the web) and each with a true italic version. Exo 2 has a more organic look that will perform much better at small text sizes and in long texts. 
 In March 2020, the family has been updated to a variable font family. 
 To contribute, see  github.com/googlefonts/Exo-2.0 ."
coda,"Eye-catching, no-messing, bandwidth-saving, Coda's Heavy (800) style is designed to be an unassuming, practical, impact heavy display font for the world wide web.   Designed to be used in large sizes to bring bold information to web pages, it is complemented by a Regular weight for use in text and display contexts.   These webfonts are designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices."
bagelfatone,"Bagel Fat is a very heavy/fat font with rounded details. By these rounded corners, the overall mood is cute and lovely which is inspired by bread, pastries and sweets. Also a large contrast at where the horizontal and the vertical stroke come across makes it unique, not just cute.
 
 
    To contribute, please visit  github.com/JAMO-TYPEFACE/BagelFat ."
sarina,"Foundry:  Sorkin Type Co 
 Sarina is a display typeface with brush style letterforms. Sarina's medium contrast and wide setting offers a casual breezy feeling. Sarina is appropriate for medium to larger sizes. 
 Source files are available from  Google Code .
To contribute to the project contact  Eben Sorkin ."
chango,"Chango is a display face based on letters drawn by Mexican illustrator Ernesto “Chango” García Cabral. It’s big and heavy, ideal for head-line body sizes with a humorous touch."
creepster,"Creepster is a fright-filled font, perfect for all of your grisly graphic needs!"
notable,"Notable is an uppercase sans serif display font; it’s letterforms are based on those found on U.S. currency.
 
 
Notable was designed by  Eli Block ,  Hana Tanimura , and  Noemie Le Coz  for  Notable Women , an initiative by former Treasurer of the United States, Rosie Rios.
 
 
 Notable Women  is an augmented reality experiment that lets anyone see 100 historic American women where they’ve historically been left out: U.S. currency."
monoton,"Monoton is a contemporary take on metalpress fonts like, for example, 'Prisma' (originally designed in 1931 by Rudolf Koch.) Monoton is a pure display webfont designed to be used at font sizes above 30 points. Monoton has been designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices."
zentokyozoo,"Zen Loop Family is one of three Latin fonts designed by Yoshimichi Ohira, as part of the Zen Fonts collection.
 
 
Tokyo Zoo was originally designed for an animal exhibition. 
The stripes suggest zoo cages but overall it’s a fun and stylish design.
 
 
To contribute, see  github.com/googlefonts/zen-tokyo-zoo ."
ribeye,"Ribeye  and  Ribeye Marrow  are reminiscent of a cartoon tattoo style of lettering, but exhibit a playfulness that breaks traditional weight distribution across its letterforms.   An edgy attitude, friendly syncopation, and highly legible letterforms makes these fonts a real pair of charmers."
rye,"Foundry:  Sorkin Type Co 
 Rye's bold attention getting shapes are useful for advertising. Rye is a medium contrast design inspired by posters using wood type. It gives off a feeling of the American West. It is suitable for use in medium to large sizes including headlines. This font was made specifically to be web type. 
 Source files are available from  Google Code .
To contribute to the project contact  Eben Sorkin ."
ewert,"Ewert is slab serif wood type inspired by and loosely based on the collection of cultural infographic maps by Estonian graphic artist Olev Soans. Ewert has been higly simplified for screen usage yet still includes the characteristic ""ornamental leg"" of the letterform.   Ewert was designed by Johan Kallas and Mihkel Virkus."
imperialscript,"Imperial Script is a formal script font with clean connections and an elegant look. The thin connectors combined with the heavier shade strokes makes Imperial perfect for invitations, formal events and seasonal settings.
 
 
It comes with Latin Character sets including Western, Central, and Vietnamese language support.
 
 
To contribute, see  github.com/googlefonts/imperial-script ."
rougescript,"Rouge Script is a formal script type, initiall drawn by hand with a copperplate nib and redrawn with the termination style of a brush script. This gives it the flavor of a casual script.   It is very soft and has fast curves, while its low slant angle makes it very legible and improves the render on-screen. It works perfectly for titles or short phrases in branding, magazines, food, feminine and fashion related typography."
tangerine,"Tangerine is a calligraphic typeface inspired by many italic chancery hands from the 16th and 17th centuries. 
Its tall ascender, the most distinct characteristic of this type, takes a wide line space between lines and gives a graceful texture. 
Use Tangerine for titles or short texts at large sizes because of the short height of lowercase letters. 
Tangerine was named after a woman who encouraged Toshi to begin this work."
leaguescript,"This ain’t no Lucida. League Script is a modern, coquettish script font that sits somewhere between your high school girlfriend’s love notes and handwritten letters from the ’20s. Designed for  the League of Moveable Type , it includes ligatures and will act as the framework for future script designs."
bangers,"Bangers is a comicbook style font which packs a punch! It was designed in the style of mid-20th century superhero comics cover lettering in mind. 
 To contribute, see  github.com/googlefonts/bangers ."
rubikglitch,"The Generative Fonts  is an original, script-generated collection of fonts based on the Google Fonts  Rubik  by Hubert and Fischer, Meir Sadan and Cyreal. The code used to generate it can be found at  github.com/NaN-xyz/Glyph-Filters .
 
 
Check for more  Rubik ""Filtered"" fonts !.
 
 
To contribute, see  github.com/NaN-xyz/Rubik-Filtered ."
delius,"Delius is a high quality comic book lettering typeface super-family; it has several families, Delis, Delius Unicase and Delius Swash Caps.   A round marker was used to define Delius's stroke: the line gets thicker at both ends to define the beginning and end of the stroke, as a marker line would do, and the ductus imitates the movements of handwriting."
borel,"What considerations should be taken into account when approaching typography in the context of simultaneous learning of reading and writing? Borel is a French cursive primer — developed with primary school teachers and speech therapists — which aims aims to harmonise cursive strokes and common typographic structure. This typeface, named in tribute to Suzanne Borel-Maisonny (a pioneer in speech therapy), boasts a sturdy design featuring low contrast and a generous x-height. The letters are intentionally open and clearly differentiated while adhering to the conventions of handwriting in French schools. 
 
 
    Due to the specifity of this project, the font only supports a limited set of glyphs allowing to write in French, English, Spanish, Catalan, German, Portuguese, Turkish and Vietnamese. Please submit language requests with images in the issue tracker of the reposotory linked below.
 
 
    Find more documentation here:  Français  |  English 
 
 To contribute, please see  github.com/RosaWagner/Borel ."
macondo,"Macondo. The first purpose of this typeface was to provide an original and systematized style of calligraphy adapted into a modern digital font. The forms are inspired by some illustrations created for a tarot card game, itself inspired by the work of Colombian literature Nobel prize winning author, Gabriel García Márquez, «Cien Años de Soledad». Early versions of this font were made in 1997, but recently in 2009 it was substantially improved. Macondo includes several cap swashes and other stylish alternates, and a sister family  Macondo Swash Caps  is also available."
caesardressing,Caesar Dressing is a 'Markers' take on a Greek alphabet. Open Window fonts gravitate towards more experimental or spontaneous renderings and this one doesn't look out of place next to the most experimental of those. It also maintains the geometric balance of a classic Greek-font quite effectively. Designed by Dathan Boardman of Open Window.
almendra,"Almendra is a typeface design based on calligraphy. Its style is related to
the chancery and gothic hands. It is intended to be used in long texts,
especially young children's literature. Almendra's black and white forms
generate a nice texture in small sizes, while its many details appear when
given the opportunity in huge sizes. The main challenge was to make compatible
dialectic elements, especially balancing legibility and formal identity.
Almendra was selected to be exhibited at the Bienal Iberoamericana de Diseo
in 2010 and was part of the German editorial project Typodarium 2012. 
 This is the Regular family, and there are sister
 Small Cap  and 
 Display 
families."
thegirlnextdoor,"'the girl next door' is based on the handwriting of a middle school geography teacher.   From her personality to her handwriting, she is the typical girl next door - she puts you at ease in every situation and is perfectly comfortable and confident in who she is.  Her handwriting reflects that and is readable, neat, and yet comfortable and welcoming."
quantico,Quantico is an angular typeface family that was inspired by old beer packaging and military lettering. It utilizes 30 degree angles and completely straight lines to form unique character shapes.   Documentation can be found at  www.madtype.com  and to contribute to the project contact Matthew Desmond at  mattdesmond@gmail.com
michroma,"Michroma is a reworking and remodelling of the rounded-square sans genre that is closely associated with a 1960s feeling of the future. This is due to the popularity of Microgramma, designed by Aldo Novarese and Alessandro Buttiin in 1952, which pioneered the style; and the most famous typeface family of the genre that came 10 years later in Novarese’s Eurostile. 
 Michroma has character widths and stem weights perfectly formed to fit today's digital screens; Vernon Adams has pioneered a design process with this font that produces excellent results on screen with no manual hinting involved. 
 The Mai 2023 update features a bigger glyphset and some minor aesthetic modifications. 
 To contribute, see  github.com/googlefonts/Michroma-font"
iceberg,"Iceberg is a slim condensed decorative webfont by Victor Kharyk suitable for medium to large sizes. It is monolinear and mostly monospaced, has long ascenders and descenders, and a modular construction that builds a rhythm. These features improve overall readability. Its monolinear strokes and 45 degree cuts echo letters made from folded tape."
pinyonscript,"Pinyon Script is a romantic round hand script-style font.
It also features swashes that are confident and showy, somehow giving the type a feeling suggestive of the American West.
Perhaps this is why, despite its refinement and aristocratic style, Pinyon Script manages to feel so friendly.
Pinyon Script uses high stroke contrast and is very slanted, making it most suitable for use at larger sizes.
 
 
After expanding the glyphset and language support in June 2022, Pinyon Script now supports African Pri, thanks to the 2024 update.
 
 
To contribute, visit
 
github.com/SorkinType/Pinyon
 
."
gochihand,"Gochi Hand is a typographic interpretation of the handwriting of a teenager. The style is fresh, not like the letters made by a calligrapher, but those of an ordinary person. The text line is spontaneous but solid and consistent, expressive and works well on screen, even in small sizes. The glyphs were carefully designed with a good curve quality that makes it able to look good when printed too. 
 Designed by Juan Pablo del Peral for  Huerta Tipográfica . 
 To contribute, see  github.com/huertatipografica/gochi-hand ."
